Resource ID,Service Name,Usage Quantity,Usage Unit,Region/Zone,CPU Utilization (%),Memory Utilization (%),Network Inbound Data (Bytes),Network Outbound Data (Bytes),Usage Start Date,Usage End Date,Cost per Quantity ($),Unrounded Cost ($),Rounded Cost ($),Total Cost (INR)
cloud-vpc-000032,Cloud VPC,870.8378,Hours,australia-southeast1,8.15,10.46,1210282693.0,936479201.0,2024-08-25,2024-09-01,0.00667993,6.92362615,6.923626,581.5846
cloud-endpoi-000033,Cloud Endpoints,16314.4354,Requests,asia-northeast1,12.4,19.68,28179518.0,73934843.0,2023-02-02,2023-03-04,9.43e-06,0.1703267,0.170327,14.3074
dataflow-000034,Dataflow,473.8702,Hours,northamerica-northeast1,69.17,72.27,276442056.0,758663023.0,2023-08-08,2023-09-07,0.05070724,25.16487739,25.164877,2113.8497
cloud-vpn-000035,Cloud VPN,5429.483,Hours,northamerica-northeast1,10.71,7.26,3058914547.0,914648858.0,2023-09-06,2023-10-06,0.06904099,399.23754918,399.237549,33535.9541
cloud-build-000036,Cloud Build,8.83,Hours,us-east1,81.49,56.98,14833681.0,42401575.0,2024-03-17,2024-03-31,0.00559151,0.05118538,0.051185,4.2996
bigquery-000037,BigQuery,24.7555,GB,us-east1,47.34,48.14,1822996310.0,163862821.0,2024-10-31,2024-12-01,0.02311796,0.58087904,0.580879,48.7938
cloud-load-b-000038,Cloud Load Balancing,2767.4029,Hours,asia-northeast1,28.63,29.46,9852917870.0,1567707435.0,2023-09-12,2023-09-19,0.0103831,32.43425129,32.434251,2724.4771
cloud-data-f-000039,Cloud Data Fusion,440.1569,Hours,europe-north1,46.45,52.88,21360667.0,186988548.0,2024-04-18,2024-04-25,0.72666113,345.34267756,345.342678,29008.7849
cloud-vpc-000040,Cloud VPC,2797.1466,Hours,asia-northeast1,4.98,8.71,1088780474.0,1682006660.0,2023-02-21,2023-03-23,0.00113282,3.59251589,3.592516,301.7713
cloud-armor-000041,Cloud Armor,1991461.5762,Requests,australia-southeast1,10.96,10.73,74483175.0,19605745.0,2023-06-20,2023-07-04,1.743e-05,41.45372169,41.453722,3482.1126
bigquery-000042,BigQuery,364.4912,GB,asia-southeast1,12.77,5.4,1641315050.0,113995730.0,2024-01-24,2024-01-25,0.04669331,17.83262883,17.832629,1497.9408
cloud-sql-000043,Cloud SQL,4484.0505,Hours,europe-north1,48.76,76.91,1689063754.0,574211385.0,2024-03-09,2024-04-08,2.7454482,12843.48733321,12843.487333,1078852.936
dataflow-000044,Dataflow,12.5174,Hours,us-west1,90.36,83.32,1566802004.0,3323580019.0,2024-05-13,2024-05-20,0.05459192,0.68463333,0.684633,57.5092
cloud-vpn-000045,Cloud VPN,1591.3265,Hours,us-west1,12.03,8.86,554528345.0,6970171399.0,2024-07-09,2024-07-10,0.05501423,84.86506519,84.865065,7128.6655
cloud-spanne-000046,Cloud Spanner,7946.5283,Hours,southamerica-east1,8.48,29.08,401836807.0,6368582879.0,2024-06-27,2024-07-04,1.06823408,10152.04740276,10152.047403,852771.9818
cloud-data-f-000047,Cloud Data Fusion,293.5395,Hours,asia-northeast1,29.21,39.11,182968107.0,1903086614.0,2024-09-01,2024-09-02,0.69320922,236.0268915,236.026891,19826.2589
cloud-vpn-000048,Cloud VPN,3402.1054,Hours,australia-southeast1,3.61,3.93,395745522.0,884298025.0,2024-08-15,2024-09-14,0.09192249,372.20694472,372.206945,31265.3834
cloud-vpn-000049,Cloud VPN,1395.5208,Hours,us-central1,1.29,10.25,346149645.0,9123536349.0,2024-06-19,2024-07-03,0.1169726,163.98233429,163.982334,13774.5161
cloud-load-b-000050,Cloud Load Balancing,3874.3455,Hours,australia-southeast1,20.7,25.21,1956832901.0,3218193003.0,2023-09-29,2023-10-13,0.01309995,59.85467771,59.854678,5027.7929
cloud-load-b-000051,Cloud Load Balancing,8726.4211,Hours,asia-northeast1,14.68,20.62,14220777949.0,25928716906.0,2023-01-10,2023-01-24,0.02493364,252.88987663,252.889877,21242.7496
cloud-armor-000052,Cloud Armor,227769.8891,Requests,southamerica-east1,8.79,5.78,6298505.0,15121759.0,2023-08-07,2023-09-06,7.63e-06,2.15129148,2.151291,180.7085
cloud-armor-000053,Cloud Armor,1522814.5542,Requests,australia-southeast1,4.45,4.39,6377242.0,28701707.0,2024-01-14,2024-01-21,1.132e-05,20.49812507,20.498125,1721.8425
cloud-interc-000054,Cloud Interconnect,3837.676,Hours,us-central1,11.42,11.6,21906297053.0,39533054214.0,2024-10-31,2024-11-30,0.29957103,1128.9684366,1128.968437,94833.3487
dataflow-000055,Dataflow,1954.4322,Hours,asia-northeast1,69.14,80.31,1094843259.0,363127584.0,2023-05-18,2023-05-25,0.04440875,101.58417236,101.584172,8533.0705
cloud-cdn-000056,Cloud CDN,45125.9081,GB,europe-north1,17.46,17.31,65994450048.0,3204744091.0,2023-10-16,2023-11-15,0.01044317,512.94472326,512.944723,43087.3568
container-re-000057,Container Registry,2232.6082,GB,europe-north1,8.81,15.38,166624610.0,228906415.0,2024-06-01,2024-06-15,0.026,62.41878976,62.41879,5243.1783
cloud-armor-000058,Cloud Armor,131519.1059,Requests,us-east1,8.19,6.27,8015098.0,9673214.0,2024-03-09,2024-04-08,7.34e-06,0.97676242,0.976762,82.048
cloud-cdn-000059,Cloud CDN,4308.6013,GB,us-east1,9.75,17.43,8184732671.0,23844094977.0,2023-09-26,2023-10-03,0.01646801,67.98358769,67.983588,5710.6214
cloud-vpc-000060,Cloud VPC,6551.7108,Hours,asia-east1,0.1,4.22,3400973640.0,6380761299.0,2023-04-25,2023-04-26,0.00913536,65.3385574,65.338557,5488.4388
cloud-vpc-000061,Cloud VPC,1054.7339,Hours,asia-east1,9.71,14.42,1534964507.0,3285384845.0,2024-01-14,2024-02-13,0.00214701,2.39602509,2.396025,201.2661
cloud-interc-000062,Cloud Interconnect,1230.3637,Hours,europe-west1,9.82,13.21,44773446660.0,6245220065.0,2023-02-10,2023-03-12,0.16228838,207.11866284,207.118663,17397.9677
cloud-build-000063,Cloud Build,8.6117,Hours,europe-west1,63.56,63.48,49205160.0,73660985.0,2024-07-27,2024-08-26,0.00486198,0.04656999,0.04657,3.9119
cloud-cdn-000064,Cloud CDN,99774.6637,GB,australia-southeast1,13.36,20.68,10461752971.0,65670354151.0,2023-06-16,2023-07-17,0.01857699,2103.39924542,2103.399245,176685.5366
ai-platform-000065,AI Platform,12.9182,Hours,asia-southeast1,90.47,89.53,115249980.0,169949622.0,2023-12-07,2024-01-06,3.04098951,43.73164501,43.731645,3673.4582
kubernetes-e-000066,Kubernetes Engine,4169.9335,Hours,australia-southeast1,49.65,32.93,887121763.0,335218279.0,2023-10-01,2023-10-08,0.04442876,221.22138774,221.221388,18582.5966
bigquery-000067,BigQuery,47185.3961,GB,northamerica-northeast1,30.63,39.7,2136225328.0,1724444203.0,2023-08-16,2023-08-23,0.02073463,983.17764967,983.17765,82586.9226
cloud-endpoi-000068,Cloud Endpoints,156818.7312,Requests,australia-southeast1,7.0,12.44,34063735.0,4593568.0,2023-01-25,2023-02-24,1.052e-05,1.96907228,1.969072,165.4021
cloud-armor-000069,Cloud Armor,1198726.1259,Requests,europe-north1,10.15,9.62,737941.0,2372933.0,2023-12-26,2024-01-25,1.964e-05,24.62017978,24.62018,2068.0951
cloud-vpc-000070,Cloud VPC,8138.8117,Hours,europe-west1,5.09,9.12,9506727160.0,1250364659.0,2023-01-29,2023-02-05,0.00260711,23.51315123,23.513151,1975.1047
cloud-functi-000071,Cloud Functions,1089083.8929,Requests,asia-east1,12.35,31.93,496245687.0,441877626.0,2023-04-22,2023-05-22,2.05e-06,2.42105058,2.421051,203.3682
cloud-run-000072,Cloud Run,4994.7551,Hours,us-central1,40.2,70.5,293534173.0,701258107.0,2024-06-07,2024-06-14,6.182e-05,0.31037852,0.310379,26.0718
bigquery-000073,BigQuery,50384.9303,GB,us-west1,47.1,37.14,318237023.0,391974133.0,2024-03-22,2024-03-23,0.02923034,1417.40292602,1417.402926,119061.8458
kubernetes-e-000074,Kubernetes Engine,2131.9201,Hours,us-west1,82.25,60.03,3492160536.0,2729780113.0,2024-11-17,2024-11-24,0.0953987,203.2027479,203.202748,17069.0308
cloud-load-b-000075,Cloud Load Balancing,994.9842,Hours,us-central1,10.35,13.9,4388889218.0,255093757.0,2023-11-18,2023-12-18,0.0233008,23.84154695,23.841547,2002.6899
cloud-storag-000076,Cloud Storage,259.6584,GB,europe-north1,15.81,17.37,5204471572.0,4410141480.0,2024-11-13,2024-11-27,0.01173048,3.25672604,3.256726,273.565
cloud-cdn-000077,Cloud CDN,2526.0795,GB,australia-southeast1,18.14,14.04,3380207500.0,7157877230.0,2024-03-06,2024-04-05,0.01697761,47.07650148,47.076501,3954.4261
cloud-data-f-000078,Cloud Data Fusion,37.0613,Hours,us-central1,49.49,60.29,30627690.0,67510334.0,2024-08-05,2024-08-19,0.35034505,13.20180404,13.201804,1108.9515
cloud-interc-000079,Cloud Interconnect,3296.2538,Hours,australia-southeast1,14.28,13.06,3044599959.0,4141830386.0,2024-03-16,2024-04-15,0.19501215,702.66287953,702.66288,59023.6819
cloud-sql-000080,Cloud SQL,2365.7918,Hours,northamerica-northeast1,47.29,59.29,553636243.0,8209269419.0,2024-11-22,2024-11-29,3.15581282,7406.92858416,7406.928584,622182.0011
kubernetes-e-000081,Kubernetes Engine,2627.78,Hours,asia-southeast1,68.58,70.06,4374482993.0,374029568.0,2024-11-05,2024-11-06,0.06696468,198.37073742,198.370737,16663.1419
cloud-load-b-000082,Cloud Load Balancing,1275.7068,Hours,asia-northeast1,14.56,20.72,225811419.0,580434143.0,2023-08-29,2023-09-28,0.01138521,16.20614747,16.206147,1361.3164
ai-platform-000083,AI Platform,44.6488,Hours,asia-east1,93.18,76.37,197724354.0,244346254.0,2023-09-08,2023-10-09,3.47672288,171.30300769,171.303008,14389.4526
cloud-sql-000084,Cloud SQL,4350.5914,Hours,europe-west3,47.48,50.61,3208579187.0,338050047.0,2024-10-06,2024-11-05,1.354397,6058.40402019,6058.40402,508905.9377
cloud-nat-000085,Cloud NAT,740.1278,Hours,australia-southeast1,0.1,0.1,261283872.0,433776889.0,2023-06-01,2023-07-01,0.00775868,6.80200576,6.802006,571.3685
pub-sub-000086,Pub/Sub,10484.5376,GB,asia-northeast1,41.68,40.14,5467432630.0,507921167.0,2024-03-11,2024-03-18,0.06087735,721.07132229,721.071322,60569.9911
cloud-sql-000087,Cloud SQL,6009.4059,Hours,asia-east1,40.3,67.32,1638548160.0,390158957.0,2024-07-24,2024-07-31,1.60685654,10476.44616806,10476.446168,880021.4781
cloud-sql-000088,Cloud SQL,3205.7071,Hours,us-east1,79.42,64.93,4759370556.0,369785921.0,2024-06-27,2024-07-28,3.32598796,10327.95649001,10327.95649,867548.3452
cloud-sql-000089,Cloud SQL,6949.9788,Hours,us-central1,43.21,54.79,131697618.0,2011786276.0,2024-05-31,2024-06-14,1.57011711,11438.66571168,11438.665712,960847.9198
cloud-data-f-000090,Cloud Data Fusion,142.0953,Hours,us-west1,41.21,52.52,368625113.0,181081321.0,2024-05-01,2024-05-15,1.06388345,159.24047504,159.240475,13376.1999
cloud-functi-000091,Cloud Functions,666488.0097,Requests,southamerica-east1,18.93,30.92,410831795.0,26878863.0,2024-05-11,2024-06-10,5.6e-07,0.42663221,0.426632,35.8371
cloud-interc-000092,Cloud Interconnect,6715.2266,Hours,australia-southeast1,1.39,1.13,9335724067.0,12034931805.0,2023-10-06,2023-10-20,0.08625995,646.39302738,646.393027,54297.0143
cloud-cdn-000093,Cloud CDN,41022.6031,GB,australia-southeast1,5.25,15.65,149950299860.0,1536814005.0,2024-01-28,2024-02-27,0.00877075,391.78796326,391.787963,32910.1889
cloud-run-000094,Cloud Run,15.3744,Hours,europe-west1,22.06,47.16,41972578.0,152421876.0,2024-07-09,2024-07-23,0.00020324,0.00339837,0.003398,0.2855
cloud-nat-000095,Cloud NAT,6511.9495,Hours,us-central1,0.1,6.48,104954931.0,254338987.0,2024-12-13,2024-12-14,0.00618121,41.98065637,41.980656,3526.3751
cloud-spanne-000096,Cloud Spanner,1923.9294,Hours,asia-east1,61.57,75.15,1254792657.0,3070911186.0,2023-12-27,2024-01-03,2.77244724,5656.03236183,5656.032362,475106.7184
cloud-run-000097,Cloud Run,4936.6694,Hours,southamerica-east1,39.99,59.7,174101087.0,115986844.0,2024-07-13,2024-08-12,0.00012741,0.7655453,0.765545,64.3058
cloud-functi-000098,Cloud Functions,1019503.2888,Requests,europe-west3,32.38,37.83,93554670.0,292388598.0,2024-05-12,2024-05-13,1.83e-06,2.00268231,2.002682,168.2253
cloud-nat-000099,Cloud NAT,7172.5723,Hours,us-west1,2.56,0.1,3135914305.0,322631386.0,2023-06-19,2023-07-19,0.0098265,71.20545992,71.20546,5981.2586
cloud-vpc-000100,Cloud VPC,3791.576,Hours,asia-east1,5.82,12.64,290134104.0,5466769226.0,2024-02-08,2024-03-09,0.00175553,7.04134653,7.041347,591.4731
cloud-run-000101,Cloud Run,60.3211,Hours,asia-southeast1,54.73,67.25,43221639.0,50916996.0,2024-04-17,2024-04-24,9.202e-05,0.00628535,0.006285,0.528
cloud-sql-000102,Cloud SQL,1872.7024,Hours,europe-west1,77.48,74.05,3045118644.0,434234657.0,2023-12-12,2024-01-11,2.63625022,5101.50801751,5101.508018,428526.6735
cloud-run-000103,Cloud Run,1766.3338,Hours,europe-north1,36.45,41.27,147824735.0,404463196.0,2023-03-25,2023-04-08,3.146e-05,0.06136884,0.061369,5.155
cloud-memory-000104,Cloud Memorystore,7877.8468,Hours,australia-southeast1,35.35,76.6,705484762.0,445064933.0,2024-10-27,2024-10-28,0.0234075,214.84233442,214.842334,18046.7561
ai-platform-000105,AI Platform,47.5298,Hours,australia-southeast1,71.55,67.75,27378490.0,108775465.0,2023-07-24,2023-08-23,1.13436864,60.51617524,60.516175,5083.3587
cloud-spanne-000106,Cloud Spanner,1254.7179,Hours,us-east1,44.07,53.89,1335008399.0,998455553.0,2023-04-28,2023-05-28,2.36887644,2974.0219475,2974.021947,249817.8436
pub-sub-000107,Pub/Sub,65867.8853,GB,europe-west1,7.27,15.15,9417256379.0,1126516143.0,2023-06-21,2023-07-21,0.06155072,4479.0364981,4479.036498,376239.0658
pub-sub-000108,Pub/Sub,1.344,GB,asia-southeast1,13.82,29.18,428092730.0,288159039.0,2023-11-15,2023-11-22,0.04935872,0.07614159,0.076142,6.3959
dataflow-000109,Dataflow,5.4152,Hours,europe-west3,64.23,75.09,7821314865.0,348547549.0,2024-02-11,2024-03-13,0.0376444,0.21793655,0.217937,18.3067
container-re-000110,Container Registry,13.048,GB,australia-southeast1,12.61,15.0,18136253.0,212878156.0,2023-04-15,2023-05-15,0.026,0.38080026,0.3808,31.9872
cloud-build-000111,Cloud Build,9.6763,Hours,us-central1,68.65,49.33,7802710.0,17318230.0,2023-02-12,2023-02-26,0.00411171,0.03959691,0.039597,3.3261
cloud-storag-000112,Cloud Storage,331.4,GB,us-east1,7.97,5.19,5440094450.0,2200493483.0,2023-12-16,2023-12-17,0.01484323,4.95868821,4.958688,416.5298
cloud-run-000113,Cloud Run,239.4518,Hours,europe-west1,44.55,65.61,63043785.0,90004014.0,2024-10-12,2024-11-11,5.366e-05,0.01429666,0.014297,1.2009
cloud-data-f-000114,Cloud Data Fusion,5.9338,Hours,us-west1,86.38,90.99,56434574.0,49120119.0,2024-06-18,2024-07-19,1.03696934,6.03145348,6.031453,506.6421
cloud-vpc-000115,Cloud VPC,4489.8584,Hours,northamerica-northeast1,8.35,7.35,22254608992.0,172912219.0,2024-04-21,2024-05-05,0.00341556,15.8543197,15.85432,1331.7629
cloud-endpoi-000116,Cloud Endpoints,53900.1927,Requests,asia-northeast1,12.0,19.88,34883167.0,6036919.0,2023-10-13,2023-11-12,1.555e-05,0.95224336,0.952243,79.9884
compute-engi-000117,Compute Engine,2493.2692,Hours,us-east1,43.67,42.64,1400322480.0,154737616.0,2024-01-24,2024-02-07,1.46931361,3721.61447634,3721.614476,312615.616
cloud-spanne-000118,Cloud Spanner,1700.6313,Hours,australia-southeast1,63.33,74.46,2676725057.0,171640008.0,2023-12-30,2024-01-29,2.74867196,5115.45057463,5115.450575,429697.8483
firestore-000119,Firestore,285047748.635,Requests,europe-north1,22.43,20.52,257997058.0,131831581.0,2024-07-23,2024-07-24,7e-07,211.30562423,211.305624,17749.6724
kubernetes-e-000120,Kubernetes Engine,1326.4044,Hours,europe-west3,53.56,51.77,991966369.0,1063539077.0,2024-05-15,2024-06-14,0.05284838,75.11132488,75.111325,6309.3513
firestore-000121,Firestore,27368.7463,Requests,northamerica-northeast1,2.52,9.23,495504703.0,6232524.0,2024-04-03,2024-05-03,8.7e-07,0.02418889,0.024189,2.0319
firestore-000122,Firestore,542020.8946,Requests,australia-southeast1,11.3,3.99,1011087216.0,85038800.0,2023-11-10,2023-12-10,1.26e-06,0.79908207,0.799082,67.1229
cloud-memory-000123,Cloud Memorystore,4186.3037,Hours,europe-west3,49.48,79.3,278719424.0,838845073.0,2024-07-17,2024-07-31,0.06584862,283.49848761,283.498488,23813.873
cloud-functi-000124,Cloud Functions,884390.0178,Requests,australia-southeast1,15.54,24.68,334073668.0,84043621.0,2023-05-04,2023-06-03,1.96e-06,2.07180285,2.071803,174.0314
pub-sub-000125,Pub/Sub,4932.0023,GB,us-west1,12.27,23.95,120320658.0,824486786.0,2023-07-09,2023-07-16,0.04829499,241.87628776,241.876288,20317.6082
cloud-vpn-000126,Cloud VPN,937.1492,Hours,southamerica-east1,14.9,13.76,2225547933.0,5049773040.0,2024-09-03,2024-09-10,0.06941176,74.26624091,74.266241,6238.3642
cloud-endpoi-000127,Cloud Endpoints,1330624.3209,Requests,europe-west1,15.3,22.45,111724016.0,2462565.0,2023-07-03,2023-07-17,6.42e-06,8.64493485,8.644935,726.1745
bigquery-000128,BigQuery,59752.8273,GB,asia-east1,42.89,42.71,444265813.0,263990743.0,2024-07-20,2024-07-27,0.03370413,2168.4979034,2168.497903,182153.8239
pub-sub-000129,Pub/Sub,741.8585,GB,northamerica-northeast1,11.27,7.04,1316313987.0,40301742.0,2023-04-16,2023-05-16,0.05408191,41.6260376,41.626038,3496.5872
cloud-sql-000130,Cloud SQL,1367.0765,Hours,europe-west1,63.02,64.05,5019924013.0,361919040.0,2023-07-08,2023-08-08,3.01838109,4372.34994613,4372.349946,367277.3955
cloud-build-000131,Cloud Build,21.2688,Hours,asia-northeast1,51.57,64.36,40672582.0,41514349.0,2024-02-15,2024-02-29,0.00505935,0.11539866,0.115399,9.6935
cloud-cdn-000132,Cloud CDN,206.5768,GB,asia-southeast1,20.07,17.28,23480585974.0,12474482832.0,2024-07-30,2024-08-30,0.01097829,2.56933968,2.56934,215.8245
cloud-vpc-000133,Cloud VPC,3393.9727,Hours,europe-west3,1.4,10.17,490161525.0,16044759078.0,2024-09-12,2024-10-12,0.00798124,28.06032637,28.060326,2357.0674
cloud-nat-000134,Cloud NAT,3150.9982,Hours,northamerica-northeast1,5.67,5.13,162251610.0,1271304640.0,2024-03-29,2024-04-05,0.00485947,16.41285694,16.412857,1378.68
cloud-vpn-000135,Cloud VPN,4592.1214,Hours,us-central1,14.51,14.33,489188736.0,1802214578.0,2023-03-03,2023-04-02,0.14475902,664.04801699,664.048017,55780.0334
cloud-datapr-000136,Cloud Dataproc,15.375,Hours,us-east1,72.26,75.5,60411191.0,38200845.0,2023-08-05,2023-08-12,0.03158787,0.50627488,0.506275,42.5271
cloud-vpc-000137,Cloud VPC,2236.1349,Hours,asia-northeast1,10.38,13.0,2206071868.0,11173831963.0,2023-06-10,2023-06-11,0.0063443,16.41173353,16.411734,1378.5856
cloud-interc-000138,Cloud Interconnect,1473.7616,Hours,asia-east1,9.43,9.07,5034701264.0,9525012818.0,2023-08-26,2023-09-02,0.43682303,696.81104899,696.811049,58532.1281
cloud-armor-000139,Cloud Armor,13375936.9353,Requests,us-east1,2.93,3.83,26921157.0,809822.0,2023-08-28,2023-09-28,1.288e-05,177.29070652,177.290707,14892.4193
dataflow-000140,Dataflow,6.7852,Hours,australia-southeast1,74.15,85.89,1193682858.0,226520466.0,2024-03-11,2024-03-18,0.01770452,0.14295962,0.14296,12.0086
cloud-functi-000141,Cloud Functions,23871829.2119,Requests,asia-southeast1,36.69,35.49,92136904.0,4307784.0,2023-03-15,2023-03-16,1.65e-06,43.87981766,43.879818,3685.9047
cloud-vpn-000142,Cloud VPN,4041.3944,Hours,europe-north1,8.99,10.92,443433047.0,501575767.0,2024-03-25,2024-04-01,0.11997337,511.25768427,511.257684,42945.6455
cloud-functi-000143,Cloud Functions,174311.3056,Requests,southamerica-east1,12.51,21.16,11855341.0,14170612.0,2024-07-06,2024-07-20,4.8e-07,0.10050358,0.100504,8.4423
cloud-run-000144,Cloud Run,11.9562,Hours,us-west1,55.62,64.27,172708095.0,13317619.0,2023-11-27,2023-12-27,7.036e-05,0.00089138,0.000891,0.0749
dataflow-000145,Dataflow,4981.8241,Hours,us-central1,79.27,88.17,258797968.0,930394317.0,2024-08-24,2024-09-24,0.04125267,198.86575849,198.865758,16704.7237
cloud-functi-000146,Cloud Functions,335407.0476,Requests,us-central1,10.96,20.57,529972127.0,349835308.0,2023-02-11,2023-03-13,1.49e-06,0.50955276,0.509553,42.8024
cloud-sql-000147,Cloud SQL,2156.3625,Hours,europe-north1,49.07,55.14,988028716.0,329972158.0,2023-07-05,2023-08-05,2.85301514,6607.12376507,6607.123765,554998.3963
cloud-armor-000148,Cloud Armor,735405.0409,Requests,northamerica-northeast1,13.11,8.42,8482909.0,9518017.0,2023-12-23,2024-01-06,2.99e-06,2.32231649,2.322316,195.0746
